"globalid","kartleggingsenhet_1m2","ano_GT"
"{E9932C8B-C056-44A9-B0A0-064BE9678D64}","T4-C-1","NA T4-1"
"{05A2067D-40AC-40C2-932D-398A2080349F}","V1-C-5","NA V1-22"
"{05A2067D-40AC-40C2-932D-398A2080349F}","V1-C-5","NA V1-21"
"{9E1F70A3-4623-4707-92CD-CC06C9486BB2}","T4-C-1","NA T4-1"
"{ED96CD9A-F64C-48F8-96B8-DBC380380822}","V2-C-1","NA V2-2"
"{ED96CD9A-F64C-48F8-96B8-DBC380380822}","V2-C-1","NA V2-1"
"{1FC793AF-A0A2-4ED4-83CC-A38CDD3DE207}","T4-C-5","NA T4-5"
"{A4FE9F42-DA58-4737-B9E1-B26B336D5F4A}","T4-C-5","NA T4-5"
"{940679DE-FA01-4A50-AEB0-5563B5780F6A}","T4-C-5","NA T4-5"
"{FDF6DE3F-C518-4308-ADB1-8CFEB6AAEDA3}","T4-C-5","NA T4-5"
"{4F178D23-61F6-4ABF-8F3F-F2A2DAE2DD97}","T4-C-5","NA T4-5"
"{54F0B30D-8B1A-4BF4-895B-12C3E0CD2891}","T4-C-5","NA T4-5"
"{2B989AA5-CA1F-4D50-99F8-3CC713012EDA}","T4-C-5","NA T4-5"
"{643E2243-ECF8-438B-A756-9378634A9394}","T4-C-5","NA T4-5"
"{01231911-0876-0101-2ABC-000000001069}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001070}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001071}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001072}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001073}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001074}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001075}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001076}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001077}","ikke_kartlagt",NA
"{01231911-0876-0101-2ABC-000000001078}","ikke_kartlagt",NA
"{BEF3D2BC-C781-49DD-BB80-D4E48F465E77}","T4-C-3","NA T4-3"
"{1E1471C7-19BB-4BD4-B2C6-B2CD7E20FF92}","T4-C-3","NA T4-3"
"{98018C1D-84EF-4F9B-8FDC-28A1A9D4B429}","T4-C-5","NA T4-5"
"{1CC7B37C-2B99-409C-AB13-6253121E25F4}","T4-C-5","NA T4-5"
"{98A78F60-E386-4FF0-B970-F21BAC70C65D}","T4-C-16","NA T4-16"
"{8249FF18-CF84-4312-A826-92FDE7EEC0D9}","T4-C-12","NA T4-12"
"{E4FC8E2B-350C-435B-87D0-1759B3687F27}","T4-C-15","NA T4-15"
"{1F071995-0D8F-41FC-B6E3-80D06A2BB6A7}","T4-C-1","NA T4-1"
"{4A5A6133-2B30-44C5-B27C-EF2C24A69B6F}","T4-C-1","NA T4-1"
"{6480EAEA-0BF1-4BE8-81A8-F2D704792BD2}","T4-C-1","NA T4-1"
"{86C0DD4A-2BE5-46BA-84EF-61C5CCB04BC9}","T4-C-5","NA T4-5"
"{BBE59EE5-91CA-4683-AC15-C828BBD29313}","T4-C-5","NA T4-5"
"{7E334C55-AA2D-4F9B-9E58-C0B586EC163C}","T4-C-5","NA T4-5"
"{DA426F70-9D9B-4D00-9CC2-65FEF041EE7A}","T4-C-5","NA T4-5"
"{81AE1839-52A5-4399-9AF2-58CE4FA5827A}","T4-C-5","NA T4-5"
"{778E1554-769C-4B05-8A59-DAC7C4C6018C}","T4-C-5","NA T4-5"
"{111B5E44-8917-4241-8D11-F6CAAC782CC9}","T4-C-5","NA T4-5"
"{01231911-0876-0101-2ABC-000000001079}","T4-C-5","NA T4-5"
"{70CF351A-D7B3-4D21-974C-32DF949498A6}","T14-C-1","NA T14-1"
